text,label
What a bolt from the blue! Just saying.,surprise
I'm listening to a podcast about history. Can't believe it.,neutral
This is pure bliss.,joy
This grief is unbearable. Wow.!!,sadness
Tears of joy streaming down my face!,joy
Tears of joy streaming down my face!,joy
Can't believe they would do something so stupid. Just saying.!!,anger
I wish I could unsee that. Can't believe it.,disgust
"Waste of time and money, I'm livid.?!",anger
Why does everything always have to end in tears?,sadness
I wish I could unsee that.!!!,disgust
YOU'VE GOT TO BE KIDDING ME!,surprise
Here is the link to the document. Wow.,neutral
I feel so hopeless and forgotten. For real.,sadness
"Wait, is this actually happening?",surprise
Absolutely ridiculous behavior from this company. No way.,anger
THAT IS JUST PLAIN WRONG ON SO MANY LEVELS. BRO.!!!,disgust
Heart full of happiness and gratitude.,joy
IT'S HARD TO FIND THE MOTIVATION TO GET OUT OF BED. JUST SAYING.,sadness
I'm jumpy and on edge all day. Seriously.,fear
This is totally unacceptable! Honestly.!!!,anger
What a gross thing to say online. Can't believe it.,disgust
Just checking my emails.,neutral
Absolutely vile and nasty. No way.,disgust
I'm on cloud nine! Bro....,joy
Just finishing up some routine work.,neutral
Loving every second of this beautiful morning. Wow.,joy
I am extremely disappointed and angry. Bro.,anger
The water is at room temperature.,neutral
JUST FINISHING UP SOME ROUTINE WORK. HONESTLY.,neutral
"Ugh, that's so oily and gross.",disgust
It feels like something is watching me.,fear
I can't believe people find this appealing.,disgust
Absolutely ridiculous behavior from this company. Can't believe it.,anger
Why does everything always have to end in tears? Wow.,sadness
GIVE ME A REFUND RIGHT NOW!,anger
"I'M PANICKING, I DON'T KNOW WHAT TO DO. FOR REAL.",fear
"Total plot twist, I'm stunned.",surprise
I'm in complete shock right now. Just saying.,surprise
"Wait, is this actually happening?",surprise
Just finishing up some routine work. Seriously.,neutral
Simply wonderful and delightful.,joy
Loving every second of this beautiful morning. Just saying.,joy
Can't believe they would do something so stupid. Seriously.,anger
So worried and anxious right now. Honestly.,fear
This is an insult to the users.,anger
"Oh my goodness, really?! Seriously.",surprise
"OH MY GOODNESS, REALLY?!",surprise
"Oh my goodness, really?!",surprise
I miss them so much it hurts.,sadness
Everything just feels so empty....,sadness
Didn't expect to run into you here!,surprise
The sheer lack of hygiene is disturbing. Seriously.,disgust
Everything I love seems to slip away.,sadness
MAKES ME WANT TO WASH MY EYES OUT. BRO.,disgust
"Yay, we finally did it! So proud of the team. Can't believe it.",joy
IT'S LIKE THEY'RE TRYING TO MAKE US MAD. CAN'T BELIEVE IT.,anger
"Whoa, that was completely unexpected. Just saying.",surprise
This is totally unacceptable!,anger
I failed again. I'm so disappointed in myself.,sadness
IT'S LIKE THEY'RE TRYING TO MAKE US MAD. FOR REAL.,anger
What?! That is crazy! Bro.,surprise
Genuinely nauseating content. No way.,disgust
The sheer lack of hygiene is disturbing. Can't believe it.,disgust
JUST CHECKING MY EMAILS.!!!,neutral
WOW! I DID NOT SEE THAT COMING AT ALL!,surprise
Stop ignoring the community's complaints! Bro.,anger
I wish I could unsee that.,disgust
The bus stops at every corner.,neutral
It's hard to even pretend to be okay anymore. Honestly.,sadness
WHAT?! THAT IS CRAZY! CAN'T BELIEVE IT.!!!,surprise
I'm seething with rage right now. For real.,anger
I FEEL SO HOPELESS AND FORGOTTEN.,sadness
"Wait, is this actually happening? Bro.",surprise
Loving every second of this beautiful morning.,joy
The cat is sleeping on the sofa. No way.,neutral
"Wait, is this actually happening? For real.",surprise
Genuinely nauseating content. Can't believe it.,disgust
Can't believe they would do something so stupid....,anger
Didn't expect to run into you here!,surprise
The world feels so gray and lifeless. Just saying.,sadness
"WHOA, THAT WAS COMPLETELY UNEXPECTED. JUST SAYING.",surprise
"Total plot twist, I'm stunned.",surprise
THE CAT IS SLEEPING ON THE SOFA. JUST SAYING.,neutral
"Whoa, that was completely unexpected. Wow.",surprise
"WHOA, THAT WAS COMPLETELY UNEXPECTED. SERIOUSLY.",surprise
I hate it when people don't listen.!!,anger
I FEEL SO HOPELESS AND FORGOTTEN. WOW.,sadness
"Please help, I'm genuinely scared.",fear
Everything is finally coming together perfectly.?!,joy
The cat is sleeping on the sofa. For real.,neutral
"What a wonderful surprise, thank you! Honestly.",joy
You've got to be kidding me! Honestly.,surprise
That smells terrible.,disgust
I couldn't be happier with these results.,joy
Lunch will be served at noon. Honestly.,neutral
"Oh my goodness, really?!",surprise
I feel so vulnerable and unsafe.,fear
Everything just feels so empty.,sadness
The bus stops at every corner. Wow.,neutral
Such toxic and sickening people. Wow.,disgust
I feel so lucky to have such great friends.,joy
THIS IS GENUINELY DISGUSTING BEHAVIOR. NO WAY.,disgust
"WASTE OF TIME AND MONEY, I'M LIVID.",anger
It feels like something is watching me.,fear
I will go to sleep at 10 PM.,neutral
The future looks so dark and threatening. Can't believe it.,fear
Didn't expect to run into you here!,surprise
THIS IS THE BEST NEWS I'VE HEARD ALL YEAR!!!,joy
THAT'S THE LAST THING I THOUGHT WOULD HAPPEN. CAN'T BELIEVE IT.,surprise
Just crying in my room. This hurts so much.,sadness
This is pure bliss.!!!,joy
"Yay, we finally did it! So proud of the team.",joy
I'm just tired of feeling this way. Honestly.,sadness
WOW! I DID NOT SEE THAT COMING AT ALL!,surprise
THIS IS AN INSULT TO THE USERS. JUST SAYING.,anger
That's just foul and inappropriate. Seriously.,disgust
Give me a refund right now! Seriously.,anger
A tragic ending to a beautiful story. Honestly.,sadness
SO WORRIED AND ANXIOUS RIGHT NOW.,fear
Absolutely ridiculous behavior from this company.,anger
The thought of losing this terrifies me. Bro.,fear
Everything is finally coming together perfectly.,joy
This is the worst customer service I have ever experienced. Honestly.,anger
Reading a textbook for class.,neutral
That is just plain wrong on so many levels.?!,disgust
This is pure bliss. Wow.,joy
I'm just a shadow of who I used to be. Just saying.,sadness
Give me a refund right now! Seriously.,anger
THIS IS GENUINELY DISGUSTING BEHAVIOR.,disgust
The world feels so gray and lifeless. Bro.,sadness
This is totally unacceptable!,anger
I feel so completely heartbroken and lost.!!!,sadness
"I'M PANICKING, I DON'T KNOW WHAT TO DO.",fear
The report is due by Friday.,neutral
This is a dream come true. For real.,joy
SO WORRIED AND ANXIOUS RIGHT NOW.,fear
How dare they charge us for this garbage? No way.,anger
I'm terrified to check my bank account.,fear
"I could scream, this is so frustrating. Bro.",anger
I walked to the park this morning. Wow.,neutral
The meeting is scheduled for tomorrow. No way.,neutral
I FEEL SO HOPELESS AND FORGOTTEN. NO WAY.,sadness
I'm on cloud nine! Seriously.,joy
A tragic ending to a beautiful story.,sadness
I feel physically sick looking at this. Seriously.,disgust
HERE IS THE LINK TO THE DOCUMENT. JUST SAYING.,neutral
I'm jumpy and on edge all day. For real.,fear
I'm seething with rage right now.,anger
I've about had it with these constant delays.,anger
What a gross thing to say online....,disgust
The bus stops at every corner. Bro.,neutral
It's hard to find the motivation to get out of bed.,sadness
I have two appointments today. Just saying.,neutral
I miss them so much it hurts.,sadness
The train arrived exactly on time. No way....,neutral
A tragic ending to a beautiful story.,sadness
I feel so completely heartbroken and lost.,sadness
"Oh my goodness, really?! No way.",surprise
I can't stop worrying about it.,fear
I am extremely disappointed and angry.,anger
I'm terrified to check my bank account.,fear
THIS HORROR MOVIE IS GIVING ME NIGHTMARES. FOR REAL.,fear
"I COULD SCREAM, THIS IS SO FRUSTRATING.",anger
I'm just tired of feeling this way. Can't believe it.,sadness
"OH MY GOODNESS, REALLY?!",surprise
Astonishing turn of events! Can't believe it.,surprise
Heart full of happiness and gratitude. Honestly.,joy
I'm cringing so hard right now. Just saying.,disgust
Why is everything always broken? I am so mad. Can't believe it.,anger
The water is at room temperature.,neutral
It's just slimy and weird.,disgust
"Eww, this is absolutely repulsive. Bro.",disgust
This is genuinely disgusting behavior. Wow.,disgust
I'm listening to a podcast about history. For real.,neutral
I failed again. I'm so disappointed in myself.,sadness
The silence is deafening and lonely.,sadness
I have a really bad feeling about this...,fear
GIVE ME A REFUND RIGHT NOW!,anger
THIS HORROR MOVIE IS GIVING ME NIGHTMARES. HONESTLY.,fear
I'm absolutely speechless. Just saying.,surprise
I feel so lucky to have such great friends. Just saying.,joy
Life is amazing right now! Seriously.,joy
Couldn't ask for anything more.,joy
I have two appointments today.?!,neutral
Tears of joy streaming down my face!,joy
Genuinely nauseating content.,disgust
"My heart is racing, I'm so nervous. Honestly.",fear
What a bolt from the blue!...,surprise
ABSOLUTELY OVERJOYED AND SMILING FROM EAR TO EAR.,joy
Just finishing up some routine work. Bro.,neutral
HEART FULL OF HAPPINESS AND GRATITUDE.,joy
ABSOLUTELY RIDICULOUS BEHAVIOR FROM THIS COMPANY. BRO.,anger
WHERE DID THAT COME FROM?!,surprise
I'M PLEASANTLY SURPRISED BY THIS!,surprise
I was NOT expecting that response. Honestly.,surprise
THE CAT IS SLEEPING ON THE SOFA. CAN'T BELIEVE IT.,neutral
What a gross thing to say online. Seriously.,disgust
"Yuck, I can't even stand to think about it. Bro.",disgust
That is just plain wrong on so many levels.,disgust
This makes my blood boil.,anger
"Whoa, that was completely unexpected.",surprise
I'm cringing so hard right now....,disgust
I feel so hopeless and forgotten. Wow.,sadness
I'M IN COMPLETE SHOCK RIGHT NOW.,surprise
This is pure bliss.,joy
That's the last thing I thought would happen.,surprise
This made my day so much better.,joy
I HAVE A REALLY BAD FEELING ABOUT THIS... WOW.,fear
I MISS THEM SO MUCH IT HURTS.,sadness
Feeling incredibly depressed and lonely tonight. Wow.,sadness
I'm in complete shock right now. Bro.,surprise
My jaw just dropped.,surprise
I feel so completely heartbroken and lost. Seriously.,sadness
I couldn't be happier with these results.,joy
It's hard to even pretend to be okay anymore.,sadness
Give me a refund right now! Can't believe it.,anger
I'm cringing so hard right now.,disgust
What a gross thing to say online.,disgust
I'M DREADING THE OUTCOME OF THIS MEETING. WOW.,fear
The meeting is scheduled for tomorrow.!!!,neutral
I'm done with this service forever.,anger
Feeling incredibly depressed and lonely tonight. Can't believe it.?!,sadness
THIS IS THE WORST CUSTOMER SERVICE I HAVE EVER EXPERIENCED.,anger
I keep reliving the same painful memories. No way.,sadness
Give me a refund right now! Seriously.,anger
I'm absolutely speechless.,surprise
I walked to the park this morning. No way.,neutral
"I could scream, this is so frustrating.",anger
I can't believe people find this appealing. Can't believe it.,disgust
"What a wonderful surprise, thank you!",joy
MY JAW JUST DROPPED.,surprise
This is an insult to the users. Bro.,anger
I'm absolutely speechless. Honestly.,surprise
What a bolt from the blue!,surprise
I'm afraid to even speak up about it.,fear
I hate it when people don't listen. Bro.,anger
Life is amazing right now! Wow.,joy
I feel so vulnerable and unsafe.,fear
JUST FINISHING UP SOME ROUTINE WORK.,neutral
I'm done with this service forever.,anger
It feels like something is watching me. Wow.,fear
"Oh my goodness, really?!...",surprise
Why is everything always broken? I am so mad.,anger
Lunch will be served at noon. Can't believe it.,neutral
"TOTAL PLOT TWIST, I'M STUNNED. FOR REAL.",surprise
Mind blown. Simply incredible.,surprise
Lunch will be served at noon.,neutral
I CAN'T BELIEVE PEOPLE FIND THIS APPEALING. BRO.,disgust
This grief is unbearable.,sadness
I FAILED AGAIN. I'M SO DISAPPOINTED IN MYSELF. JUST SAYING.,sadness
HEART FULL OF HAPPINESS AND GRATITUDE. NO WAY.,joy
I miss them so much it hurts.,sadness
I AM EXTREMELY DISAPPOINTED AND ANGRY. SERIOUSLY.!!!,anger
I'm seething with rage right now.,anger
I'm just tired of feeling this way.,sadness
"Whoa, that was completely unexpected.",surprise
Absolutely ridiculous behavior from this company. For real.,anger
I feel like a burden to everyone around me. Bro.!!,sadness
I'M TERRIFIED TO CHECK MY BANK ACCOUNT. HONESTLY.,fear
THAT'S THE LAST THING I THOUGHT WOULD HAPPEN. CAN'T BELIEVE IT.,surprise
I failed again. I'm so disappointed in myself. Honestly.,sadness
HEART FULL OF HAPPINESS AND GRATITUDE.,joy
Everything just feels so empty....,sadness
I'M TERRIFIED OF WHAT MIGHT HAPPEN NEXT.,fear
Didn't expect to run into you here!,surprise
"Whoa, that was completely unexpected.",surprise
The thought of losing this terrifies me. Bro.,fear
Everything just feels so empty.,sadness
JUST FINISHING UP SOME ROUTINE WORK. SERIOUSLY.,neutral
Couldn't ask for anything more. Bro.,joy
I'M AFRAID TO EVEN SPEAK UP ABOUT IT.,fear
I'm in complete shock right now. No way.,surprise
ASTONISHING TURN OF EVENTS! WOW....,surprise
THIS FOOD LOOKS MOLDY AND HORRIFYING. WOW.,disgust
It's just slimy and weird. For real.,disgust
Didn't expect to run into you here! Honestly.!!!,surprise
A tragic ending to a beautiful story.,sadness
How dare they charge us for this garbage? Honestly.,anger
This made my day so much better.,joy
"Wait, is this actually happening? Bro.",surprise
This news honestly scares me....,fear
This horror movie is giving me nightmares.,fear
I feel like a burden to everyone around me.,sadness
What?! That is crazy!,surprise
THIS IS TOTALLY UNACCEPTABLE! CAN'T BELIEVE IT.,anger
I'm cringing so hard right now. Can't believe it.,disgust
This grief is unbearable.,sadness
The weather is cloudy today. Can't believe it.,neutral
It feels like something is watching me. For real.,fear
I can't believe people find this appealing.,disgust
This is the best news I've heard all year!!! Can't believe it.,joy
THIS IS A BLUE CUP ON THE TABLE....,neutral
I'm just tired of feeling this way. No way.,sadness
IT'S LIKE THEY'RE TRYING TO MAKE US MAD. HONESTLY.,anger
So worried and anxious right now. Wow.,fear
I'm done with this service forever.,anger
THE WEATHER IS CLOUDY TODAY.,neutral
THE WATER IS AT ROOM TEMPERATURE.,neutral
WHAT IF EVERYTHING GOES WRONG TOMORROW? NO WAY.,fear
I hate it when people don't listen.,anger
The report is due by Friday....,neutral
I WILL GO TO SLEEP AT 10 PM.,neutral
Didn't expect to run into you here! Can't believe it.,surprise
Just checking my emails. No way.,neutral
Where did that come from?!,surprise
"Yay, we finally did it! So proud of the team.",joy
It's hard to find the motivation to get out of bed. Wow.,sadness
I can't believe people find this appealing. Seriously.,disgust
"TOTAL PLOT TWIST, I'M STUNNED.",surprise
I have a really bad feeling about this... Wow.,fear
I'M ABSOLUTELY SPEECHLESS.,surprise
It's just slimy and weird.,disgust
I'm cringing so hard right now.,disgust
"WAIT, IS THIS ACTUALLY HAPPENING?",surprise
Life is amazing right now! Seriously.,joy
That smells terrible.,disgust
"Yay, we finally did it! So proud of the team.",joy
I WAS NOT EXPECTING THAT RESPONSE. FOR REAL.,surprise
EVERYTHING IS FINALLY COMING TOGETHER PERFECTLY.,joy
The train arrived exactly on time.,neutral
That's just foul and inappropriate....,disgust
Such toxic and sickening people. Seriously....,disgust
This is totally unacceptable!,anger
I'm on cloud nine!,joy
IT'S HARD TO EVEN PRETEND TO BE OKAY ANYMORE.,sadness
I feel physically sick looking at this.,disgust
I was NOT expecting that response. No way.,surprise
Simply wonderful and delightful.!!,joy
"MY HEART IS RACING, I'M SO NERVOUS. WOW.",fear
Everything just feels so empty. No way.,sadness
I'm in complete shock right now.,surprise
I'M TERRIFIED OF WHAT MIGHT HAPPEN NEXT.,fear
I'm done with this service forever. Wow.,anger
I'm just tired of feeling this way.,sadness
How dare they charge us for this garbage? Bro.,anger
I'M TERRIFIED TO CHECK MY BANK ACCOUNT. NO WAY.,fear
This makes my blood boil. Just saying.,anger
It's like they're trying to make us mad.,anger
This horror movie is giving me nightmares. Honestly.,fear
Everything I love seems to slip away.,sadness
The cat is sleeping on the sofa.!!,neutral
"Please help, I'm genuinely scared. Wow.",fear
It's like they're trying to make us mad.,anger
The train arrived exactly on time.,neutral
Stop ignoring the community's complaints!,anger
It's hard to even pretend to be okay anymore. Seriously.,sadness
Everything is finally coming together perfectly.,joy
Absolutely overjoyed and smiling from ear to ear.,joy
"I could scream, this is so frustrating.",anger
Just checking my emails. Just saying.,neutral
Absolutely ridiculous behavior from this company.?!,anger
THIS IS PURE BLISS. FOR REAL.,joy
"Ugh, that's so oily and gross. Just saying.",disgust
I'M SO EXCITED FOR THE WEEKEND!,joy
What a bolt from the blue! Just saying.!!!,surprise
YOU'VE GOT TO BE KIDDING ME! CAN'T BELIEVE IT.,surprise
I bought some milk from the store.,neutral
This news honestly scares me. Honestly.,fear
I'm absolutely speechless. Just saying.,surprise
Just checking my emails.,neutral
This horror movie is giving me nightmares. No way.,fear
The train arrived exactly on time.,neutral
The uncertainty is paralyzing. For real.,fear
Everything is finally coming together perfectly.,joy
THAT'S THE LAST THING I THOUGHT WOULD HAPPEN. HONESTLY.,surprise
THIS IS GENUINELY DISGUSTING BEHAVIOR. SERIOUSLY.,disgust
ABSOLUTELY OVERJOYED AND SMILING FROM EAR TO EAR.,joy
I feel physically sick looking at this. Bro.,disgust
"Whoa, that was completely unexpected.!!",surprise
Where did that come from?! Honestly.,surprise
I WAS NOT EXPECTING THAT RESPONSE.,surprise
What if everything goes wrong tomorrow?,fear
FEELING INCREDIBLY DEPRESSED AND LONELY TONIGHT.,sadness
"YUCK, I CAN'T EVEN STAND TO THINK ABOUT IT. FOR REAL.",disgust
This made my day so much better.,joy
Can't believe they would do something so stupid.,anger
Feeling incredibly depressed and lonely tonight. Can't believe it....,sadness
The report is due by Friday.,neutral
I've about had it with these constant delays.,anger
This is the best news I've heard all year!!! Just saying.,joy
This is pure bliss.,joy
I'm terrified to check my bank account. No way.,fear
Just crying in my room. This hurts so much. Just saying.,sadness
The water is at room temperature.,neutral
I'm terrified to check my bank account.,fear
Why is everything always broken? I am so mad.,anger
I CAN'T BELIEVE PEOPLE FIND THIS APPEALING.,disgust
Didn't expect to run into you here! Seriously.,surprise
I will go to sleep at 10 PM. Bro.,neutral
This horror movie is giving me nightmares.,fear
Loving every second of this beautiful morning. Just saying.,joy
"WHOA, THAT WAS COMPLETELY UNEXPECTED. WOW.",surprise
I AM SO FURIOUS ABOUT THIS NEW UPDATE! HONESTLY.,anger
Absolutely vile and nasty.,disgust
Such toxic and sickening people.,disgust
I walked to the park this morning.,neutral
Stop ignoring the community's complaints!?!,anger
THE WEATHER IS CLOUDY TODAY. WOW.,neutral
IT'S HARD TO FIND THE MOTIVATION TO GET OUT OF BED.,sadness
I hate it when people don't listen.,anger
Feeling so blessed and joyful right now. No way.,joy
I am so furious about this new update! Can't believe it.,anger
"Ugh, that's so oily and gross. Bro.",disgust
Feeling so blessed and joyful right now. Seriously.,joy
I'm in complete shock right now. Just saying.,surprise
The silence is deafening and lonely.,sadness
Where did that come from?!,surprise
I keep reliving the same painful memories.,sadness
This is pure bliss. No way.,joy
I'm so excited for the weekend! Seriously.,joy
The train arrived exactly on time.,neutral
MAKES ME WANT TO WASH MY EYES OUT.,disgust
I bought some milk from the store.,neutral
"I'm shaking, that was a close call. Seriously.",fear
I'm so excited for the weekend! Bro.,joy
Life is amazing right now!,joy
This is the worst customer service I have ever experienced.,anger
I feel physically sick looking at this. No way.,disgust
I NEED TO BUY SOME NEW SHOES....,neutral
Feeling so blessed and joyful right now.,joy
"I'm panicking, I don't know what to do. No way.",fear
The silence is deafening and lonely. Wow.,sadness
Reading a textbook for class. Just saying.,neutral
Stop ignoring the community's complaints!,anger
THIS NEWS HONESTLY SCARES ME.,fear
THIS IS TOTALLY UNACCEPTABLE! CAN'T BELIEVE IT.,anger
Makes me want to wash my eyes out. No way.,disgust
Here is the link to the document.,neutral
Life is amazing right now! Wow.,joy
Everything is finally coming together perfectly.,joy
I can't believe people find this appealing. No way.,disgust
"I'm shaking, that was a close call. No way.",fear
This is an insult to the users. Can't believe it.,anger
"Suddenly, everything changed.",surprise
THE THOUGHT OF LOSING THIS TERRIFIES ME. BRO.,fear
LIFE IS AMAZING RIGHT NOW!,joy
Such toxic and sickening people.,disgust
I feel so lucky to have such great friends. For real.,joy
I'M ON CLOUD NINE!,joy
I'VE ABOUT HAD IT WITH THESE CONSTANT DELAYS. BRO.,anger
Lunch will be served at noon.,neutral
Astonishing turn of events!,surprise
"Total plot twist, I'm stunned. No way.",surprise
I can't stop worrying about it. For real.,fear
"Oh my goodness, really?! Just saying.",surprise
It's like they're trying to make us mad. Can't believe it.,anger
"What a wonderful surprise, thank you! Can't believe it.",joy
What a gross thing to say online.,disgust
The water is at room temperature.,neutral
IT'S HARD TO EVEN PRETEND TO BE OKAY ANYMORE. BRO.,sadness
THE FUTURE LOOKS SO DARK AND THREATENING.,fear
The report is due by Friday.,neutral
Genuinely nauseating content.,disgust
That's just foul and inappropriate.,disgust
I've about had it with these constant delays.,anger
THIS MADE MY DAY SO MUCH BETTER. SERIOUSLY.,joy
This made my day so much better. Just saying.,joy
"I'm panicking, I don't know what to do.",fear
"OH MY GOODNESS, REALLY?!",surprise
I feel physically sick looking at this.,disgust
That smells terrible. Can't believe it.,disgust
Astonishing turn of events!,surprise
Just finishing up some routine work. Wow.,neutral
I'm so excited for the weekend!,joy
I need to buy some new shoes.!!,neutral
I'm just a shadow of who I used to be. Can't believe it.,sadness
I can't stop worrying about it. For real.,fear
TEARS OF JOY STREAMING DOWN MY FACE!,joy
This is a dream come true.,joy
Why is everything always broken? I am so mad.,anger
I WISH I COULD UNSEE THAT.,disgust
Astonishing turn of events! Just saying.,surprise
"UGH, THAT'S SO OILY AND GROSS. SERIOUSLY.",disgust
Astonishing turn of events! Seriously.,surprise
I'm listening to a podcast about history.,neutral
THIS IS PURE BLISS. NO WAY.!!!,joy
IT'S LIKE THEY'RE TRYING TO MAKE US MAD.,anger
"Yuck, I can't even stand to think about it. Seriously.",disgust
ABSOLUTELY VILE AND NASTY. CAN'T BELIEVE IT.,disgust
"I'M SHAKING, THAT WAS A CLOSE CALL. FOR REAL.",fear
I'm pleasantly surprised by this!,surprise
Astonishing turn of events! For real.,surprise
Such toxic and sickening people. No way.,disgust
"Yuck, I can't even stand to think about it. Bro.!!",disgust
Tears of joy streaming down my face!,joy
Why is everything always broken? I am so mad.,anger
MAKES ME WANT TO WASH MY EYES OUT. BRO.,disgust
I'm dreading the outcome of this meeting.,fear
Everything is finally coming together perfectly. Honestly.,joy
The water is at room temperature.,neutral
"Yay, we finally did it! So proud of the team. Seriously.",joy
The future looks so dark and threatening.,fear
I hate it when people don't listen.,anger
Can't believe they would do something so stupid.,anger
This grief is unbearable.,sadness
"I'M PANICKING, I DON'T KNOW WHAT TO DO.",fear
Genuinely nauseating content. Seriously.,disgust
Everything I love seems to slip away.,sadness
This is the worst customer service I have ever experienced.,anger
I FEEL SO LUCKY TO HAVE SUCH GREAT FRIENDS. CAN'T BELIEVE IT.,joy
What?! That is crazy!,surprise
I'm afraid to even speak up about it. Can't believe it.!!,fear
That's just foul and inappropriate.,disgust
The report is due by Friday.,neutral
MIND BLOWN. SIMPLY INCREDIBLE. NO WAY.,surprise
I have two appointments today. Wow.,neutral
I need to buy some new shoes. Honestly.,neutral
Simply wonderful and delightful.,joy
NOBODY UNDERSTANDS HOW MUCH I'M STRUGGLING.,sadness
A TRAGIC ENDING TO A BEAUTIFUL STORY. CAN'T BELIEVE IT.,sadness
WHY DOES EVERYTHING ALWAYS HAVE TO END IN TEARS? SERIOUSLY.?!,sadness
ABSOLUTELY VILE AND NASTY. SERIOUSLY.,disgust
I feel so completely heartbroken and lost.,sadness
THIS IS A DREAM COME TRUE. JUST SAYING.,joy
WHAT A BOLT FROM THE BLUE!,surprise
That is just plain wrong on so many levels.,disgust
The weather is cloudy today. Honestly.,neutral
I CAN'T BELIEVE MY EYES!...,surprise
The incompetence is staggering. No way.!!!,anger
I feel so lucky to have such great friends. Just saying.,joy
ABSOLUTELY OVERJOYED AND SMILING FROM EAR TO EAR. CAN'T BELIEVE IT.,joy
I keep reliving the same painful memories. Seriously.,sadness
Why is everything always broken? I am so mad. Just saying.,anger
I am so furious about this new update! Wow.,anger
I'm done with this service forever.,anger
I'm dreading the outcome of this meeting.,fear
I'm on cloud nine! No way.,joy
You've got to be kidding me!,surprise
The weather is cloudy today. No way.,neutral
Such toxic and sickening people. Wow.,disgust
This food looks moldy and horrifying.,disgust
IT'S HARD TO FIND THE MOTIVATION TO GET OUT OF BED. FOR REAL.,sadness
"WASTE OF TIME AND MONEY, I'M LIVID. WOW.",anger
I'M TERRIFIED TO CHECK MY BANK ACCOUNT.,fear
I'm pleasantly surprised by this! For real.,surprise
The bus stops at every corner. Wow.,neutral
Reading a textbook for class. For real.!!,neutral
I have a really bad feeling about this...,fear
Genuinely nauseating content.,disgust
I feel so hopeless and forgotten.,sadness
"WHOA, THAT WAS COMPLETELY UNEXPECTED. JUST SAYING.",surprise
I have two appointments today. For real.,neutral
I walked to the park this morning.,neutral
This is an insult to the users. Honestly.,anger
Everything I love seems to slip away. No way.,sadness
This is an insult to the users. For real.,anger
I feel so lucky to have such great friends.!!,joy
I am extremely disappointed and angry.,anger
"WASTE OF TIME AND MONEY, I'M LIVID.",anger
THE SHEER LACK OF HYGIENE IS DISTURBING.,disgust
FEELING INCREDIBLY DEPRESSED AND LONELY TONIGHT.,sadness
I feel physically sick looking at this. Just saying.,disgust
"Yuck, I can't even stand to think about it.",disgust
A tragic ending to a beautiful story. Wow.,sadness
THE TRAIN ARRIVED EXACTLY ON TIME. SERIOUSLY.,neutral
The cat is sleeping on the sofa.,neutral
The uncertainty is paralyzing. Wow....,fear
"UGH, THAT'S SO OILY AND GROSS.",disgust
Loving every second of this beautiful morning. Just saying.,joy
This is totally unacceptable!,anger
It's hard to even pretend to be okay anymore.,sadness
I'm in complete shock right now. Can't believe it.?!,surprise
The train arrived exactly on time.,neutral
I'm just a shadow of who I used to be.,sadness
WHAT A BOLT FROM THE BLUE! CAN'T BELIEVE IT.,surprise
"WHAT A WONDERFUL SURPRISE, THANK YOU! FOR REAL.",joy
Where did that come from?! Bro.,surprise
I can't stop worrying about it.,fear
I have a really bad feeling about this...,fear
I walked to the park this morning.,neutral
I'M PLEASANTLY SURPRISED BY THIS! HONESTLY.,surprise
I AM SO FURIOUS ABOUT THIS NEW UPDATE! HONESTLY.,anger
What a bolt from the blue! Wow.?!,surprise
This makes my blood boil. Bro.,anger
Makes me want to wash my eyes out. Bro.,disgust
The bus stops at every corner.,neutral
I WAS NOT EXPECTING THAT RESPONSE.,surprise
I failed again. I'm so disappointed in myself.,sadness
The incompetence is staggering.,anger
"Suddenly, everything changed.",surprise
"Suddenly, everything changed. Seriously.",surprise
Where did that come from?!,surprise
I AM SO INCREDIBLY HAPPY TODAY!,joy
I can't believe my eyes! Just saying.,surprise
"Yay, we finally did it! So proud of the team. Can't believe it.",joy
I'M PLEASANTLY SURPRISED BY THIS! WOW.,surprise
Didn't expect to run into you here! Honestly.,surprise
"Waste of time and money, I'm livid. Wow.",anger
This made my day so much better. Seriously.,joy
The future looks so dark and threatening. Seriously.!!,fear
I AM SO FURIOUS ABOUT THIS NEW UPDATE!!!,anger
This food looks moldy and horrifying.,disgust
I'M DONE WITH THIS SERVICE FOREVER. CAN'T BELIEVE IT.,anger
I BOUGHT SOME MILK FROM THE STORE.!!!,neutral
The cat is sleeping on the sofa. Wow.,neutral
"WHOA, THAT WAS COMPLETELY UNEXPECTED.!!",surprise
I am extremely disappointed and angry.,anger
I'm listening to a podcast about history.,neutral
I'm absolutely speechless.,surprise
I'm afraid to even speak up about it.,fear
Just checking my emails. Just saying.,neutral
Why is everything always broken? I am so mad.,anger
"Waste of time and money, I'm livid.",anger
This is the best news I've heard all year!!! Seriously.,joy
I'm absolutely speechless.,surprise
THIS IS GENUINELY DISGUSTING BEHAVIOR. WOW.,disgust
The weather is cloudy today.,neutral
Absolutely ridiculous behavior from this company.,anger
STOP IGNORING THE COMMUNITY'S COMPLAINTS! NO WAY.,anger
I can't believe people find this appealing. No way.,disgust
The cat is sleeping on the sofa. Can't believe it.,neutral
Tears of joy streaming down my face!,joy
I am typing on my keyboard. Wow.,neutral
This horror movie is giving me nightmares.,fear
That's just foul and inappropriate. Can't believe it.,disgust
So worried and anxious right now.,fear
A tragic ending to a beautiful story.,sadness
Why is everything always broken? I am so mad. For real.,anger
I'm seething with rage right now.,anger
